texts,n chars,temperature,Output
你們要一起,50,1,你們要一起銀錢來了。只是我們三爺在家的屋裡人，各自家有個明路的事。」王夫人道：「我這家做得極主的，其實倒是怕誰
世間萬物不過一粒微塵,50,1,世間萬物不過一粒微塵緣，自然更好了兩日。」寶玉細細想到那《石頭記》給看看，遠遠寫著，見他依得相見，便細細的想起：「才明了
世間萬物不過一粒微塵,50,1,世間萬物不過一粒微塵緣，自然更好了兩日。」寶玉細細想到那《石頭記》給看看，遠遠寫著，見他依得相見，便細細的想起：「才明了
自從捷敏稱霸武林之後,200,1,"自從捷敏稱霸武林之後。」士隱道：「大凡年紀可惱，那如還有夢中睡夢，因迷失離迷關了。那一個人也沒空。只當件，幸虧我看見古今來，便是那一種孽障，只問：士隱道士隱道：「二老爺不下回稟。但被這敝書還，不知何渺茫茫兮，歸彼大荒。

那日後事情緣雖說，雨村也認得已經，但已經判斷，今歸薛姓，產難完劫。遺一子於薛家，彼此聚首，便說家而出些。我不必耽憂。」賈璉心內延師讀書，甚不必掛念的念功課，便回了自己錄一一回家。那書接畢，外書一個一"
陳岳紘說：看盡天下百態,200,1,陳岳紘說：看盡天下百態小，乃至可如珍。聖子稱為奇，所以相棄之人。」士隱道：「這一位孽子！他生從三個女人，題目修文，也有寶玉來歷，因我失了，你那個空空道人，託他人將這樣奇，也未可閱閱士來的。只問你句話之後，再歷敘別之情，竟再訪師那寧國閱去處就是靜室。所以此玉那一塊玉落的便空空道縹渺而來，士隱道：『真人人』，三字也不必。再更不明面飛過來了。我才拿去給你，他就拿去，果然和尚和尚道士去罷。」賈政道：「我來了一，無緣完了？我也不
陳岳紘說：看盡天下百態,200,1,陳岳紘說：看盡天下百態小，乃至可如珍。聖子稱為奇，所以相棄之人。」士隱道：「這一位孽子！他生從三個女人，題目修文，也有寶玉來歷，因我失了，你那個空空道人，託他人將這樣奇，也未可閱閱士來的。只問你句話之後，再歷敘別之情，竟再訪師那寧國閱去處就是靜室。所以此玉那一塊玉落的便空空道縹渺而來，士隱道：『真人人』，三字也不必。再更不明面飛過來了。我才拿去給你，他就拿去，果然和尚和尚道士去罷。」賈政道：「我來了一，無緣完了？我也不
陳岳紘說：看盡天下百態,200,2,陳岳紘說：看盡天下百態，千古艱斷地，萬殺救得之處，悔立無及劫呢！告訴了我今年才向下動？淨有地方棺清到晴決白」，方合一面定是鵠子，遂要其就滴下淚來。近來疑寶胎甚教了。甄士隱道欲安厝畢之，沿在友近大人行。賈政純老老小乩，她與親妹等眾老羅夷合天，暫且相認。各處蔣家歸薷飲，爰病禁進的渺尚，人並李紈見什麼似睡他也做響遍，更像生香，招轉自寶釵寶玉忘舊古誚；今公林薛寶釵、鴛墓並毗釵女未難兮。只聽靜無先聽鍊之茗，微微的書言。內上便不說
國王戰爭是一款真正的戰爭策略遊戲,50,2,國王戰爭是一款真正的戰爭策略遊戲真：「既之影前樣，古說別人這刻糊塗六遺一人往廟的西顧風一聞，神魂已定，把謂堯、間便有斷虧！難佛抓寶玉
國王戰爭是一款真正的戰爭策略遊戲,50,2,國王戰爭是一款真正的戰爭策略遊戲真：「既之影前樣，古說別人這刻糊塗六遺一人往廟的西顧風一聞，神魂已定，把謂堯、間便有斷虧！難佛抓寶玉
試試,50,1,試試，見有文盡不但尚未奏，實在情分聖上，大敷七萬奏聞，命賈政喝了一杯，說他一番不信，因又說到寧國府第收拾
試試,50,1,試試，見有文盡不但尚未奏，實在情分聖上，大敷七萬奏聞，命賈政喝了一杯，說他一番不信，因又說到寧國府第收拾
試試,50,1,試試，見有文盡不但尚未奏，實在情分聖上，大敷七萬奏聞，命賈政喝了一杯，說他一番不信，因又說到寧國府第收拾
突然有一天，全世界的麥當勞都關門了,50,1,突然有一天，全世界的麥當勞都關門了，雨村還閒看。回來卻是那眾相看，便是隨著走，口中也未及答言，只見那古怪，得去走了。只見寶玉走上來，說
突然有一天，全世界的麥當勞都關門了,50,1,突然有一天，全世界的麥當勞都關門了，雨村還閒看。回來卻是那眾相看，便是隨著走，口中也未及答言，只見那古怪，得去走了。只見寶玉走上來，說
大觀園,120,1.2,"大觀園仙月，來訪師卑，希罕寶玉、方悔、之心，復稍示神靈，高魁子貴，顯見歷悼紅者亦改初也熟了。總不得一疑，妄口擬一聯云：

『情緣』四更說起來，方知近前古身篇前何前這樣？這五更沒聽聽到底是尋根昔年來的，今以死了得，飛消怠慢。」眾人見寶釵尚未嘗肯作得"
蒙其弟魯夫，站在海邊，大喊著我要成為海賊王,50,0.4,蒙其弟魯夫，站在海邊，大喊著我要成為海賊王。許多的品魁之子，連忙問起士等，將軍去世定數全者回。復知大臣說旨，萬民可別先持家。甄少幾行的事應名十
蒙其弟魯夫，站在海邊，大喊著我要成為海賊王,50,1.6,蒙其弟魯夫，站在海邊，大喊著我要成為海賊王。許多的品魁之子，連忙問起士等，將軍去世定數全者回。復知大臣說旨，萬民可別先持家。甄少幾行的事應名十
蒙其弟魯夫，站在海邊，大喊著我要成為海賊王,50,2,蒙其弟魯夫，站在海邊，大喊著我要成為海賊王。許多的品魁之子，連忙問起士等，將軍去世定數全者回。復知大臣說旨，萬民可別先持家。甄少幾行的事應名十
蒙其弟魯夫，站在海邊，大喊著我要成為海賊王,50,2,蒙其弟魯夫，站在海邊，大喊著我要成為海賊王。許多的品魁之子，連忙問起士等，將軍去世定數全者回。復知大臣說旨，萬民可別先持家。甄少幾行的事應名十
盈儒覺得養個工具人不錯,80,1.6,"盈儒覺得養個工具人不錯。芙蓉花又不敢了。一急立定喝，看著給巧姐瞧這個意士，晴雯道：「妙車道回呀，說完了才來了！眾神侍兒更等第二個天上多，因用打開嘴。忽然後士隱出手，請教近情了返方。
"
盈儒覺得養個工具人不錯,80,1.6,"盈儒覺得養個工具人不錯。芙蓉花又不敢了。一急立定喝，看著給巧姐瞧這個意士，晴雯道：「妙車道回呀，說完了才來了！眾神侍兒更等第二個天上多，因用打開嘴。忽然後士隱出手，請教近情了返方。
"
盈儒覺得養個工具人不錯,80,1.6,"盈儒覺得養個工具人不錯。芙蓉花又不敢了。一急立定喝，看著給巧姐瞧這個意士，晴雯道：「妙車道回呀，說完了才來了！眾神侍兒更等第二個天上多，因用打開嘴。忽然後士隱出手，請教近情了返方。
"
盈儒覺得養個工具人不錯,80,1.6,"盈儒覺得養個工具人不錯。芙蓉花又不敢了。一急立定喝，看著給巧姐瞧這個意士，晴雯道：「妙車道回呀，說完了才來了！眾神侍兒更等第二個天上多，因用打開嘴。忽然後士隱出手，請教近情了返方。
"
盈儒覺得養個工具人不錯,80,1.6,"盈儒覺得養個工具人不錯。芙蓉花又不敢了。一急立定喝，看著給巧姐瞧這個意士，晴雯道：「妙車道回呀，說完了才來了！眾神侍兒更等第二個天上多，因用打開嘴。忽然後士隱出手，請教近情了返方。
"
盈儒覺得養個工具人不錯,80,1.6,盈儒覺得養個工具人不錯。」賈璉道：「對這拋了玉，也是。」賈薔也是一意的點點頭兒冰啟。又打聽又無言可奈命裝飾，第七把方到十個女清處香雪香燭。正納擠聽。成個男頭四輛車進那們流定菜蔬過來，
哈哈,116,1.6,哈哈、笑，各有黛玉原來一像只眼呆呆的，心想不暗意很服，鋪了一同大紅安了大了哄他玩邢、珍，勉強仍是襲人。侍過陵，今日復初不本時樣差行，到場後吆喝著聽了些細意。躉夜為眾法將我找不著真何，那虛虛情意品。香銀綿知還所，那當黛石的話上過紫檀德，便
哈哈,116,1.6,哈哈、笑，各有黛玉原來一像只眼呆呆的，心想不暗意很服，鋪了一同大紅安了大了哄他玩邢、珍，勉強仍是襲人。侍過陵，今日復初不本時樣差行，到場後吆喝著聽了些細意。躉夜為眾法將我找不著真何，那虛虛情意品。香銀綿知還所，那當黛石的話上過紫檀德，便
曹雪芹,50,1,曹雪芹先生，只說賈政在甄寶玉先提嘆了一番。賈政不敢為事，不知是否？賈璉肯忍相別。邢夫人那裡知惜此事又多，所
燦羽,119,1,燦羽什的狐疑，卻不肯夢，只見賈環他母親急忙來趕著問道：「那有？」士隱道：「神仙名利無的人，託他傳遍，知道奇而不奇，不必擬散和風聲，修緣歸真，可以性情實。再者，那花自芳』的「『蔣玉菡，音內有如今對清結之方，所以那假八字的人。」雨村聽了，點頭嘆道
燦羽,119,1,燦羽什的狐疑，卻不肯夢，只見賈環他母親急忙來趕著問道：「那有？」士隱道：「神仙名利無的人，託他傳遍，知道奇而不奇，不必擬散和風聲，修緣歸真，可以性情實。再者，那花自芳』的「『蔣玉菡，音內有如今對清結之方，所以那假八字的人。」雨村聽了，點頭嘆道
炒蛋就是要小火慢炒,50,2,炒蛋就是要小火慢炒；如今開了內抄的材先是裡金帶仍來送東西，撲落空給甄寶爺、鳳姐同張！那善義尚還不問滿族幾姓！松屯漵的個
炒蛋就是要小火慢炒,50,2,炒蛋就是要小火慢炒；如今開了內抄的材先是裡金帶仍來送東西，撲落空給甄寶爺、鳳姐同張！那善義尚還不問滿族幾姓！松屯漵的個
我爸爸說',155,1.4,我爸爸說'道：「果然人順著爺嗎？就是日後悔，深易惦記得。又問恩人家為人，現是報哥哥、門見了。可是來不願意。」邢夫人聽著自然不笑，雖傷心、待小服，甚是太太可能遲了。隔了時，又義夫又回來了。又算敢違命的，只得勸說留下。薛姨媽道：「我孫子哪裡錯點的，倘或也是這件事使；若說是別人說這件，二爺就該睡了。我只起姑娘既有我服侍。你竭
我爸爸說',155,1.4,我爸爸說'道：「果然人順著爺嗎？就是日後悔，深易惦記得。又問恩人家為人，現是報哥哥、門見了。可是來不願意。」邢夫人聽著自然不笑，雖傷心、待小服，甚是太太可能遲了。隔了時，又義夫又回來了。又算敢違命的，只得勸說留下。薛姨媽道：「我孫子哪裡錯點的，倘或也是這件事使；若說是別人說這件，二爺就該睡了。我只起姑娘既有我服侍。你竭
我爸爸說',155,1.4,我爸爸說'道：「果然人順著爺嗎？就是日後悔，深易惦記得。又問恩人家為人，現是報哥哥、門見了。可是來不願意。」邢夫人聽著自然不笑，雖傷心、待小服，甚是太太可能遲了。隔了時，又義夫又回來了。又算敢違命的，只得勸說留下。薛姨媽道：「我孫子哪裡錯點的，倘或也是這件事使；若說是別人說這件，二爺就該睡了。我只起姑娘既有我服侍。你竭
早安美之城,200,1.4,早安美之城』，還是喜處！」朝臣說：「《大書》給鈿於草閒年地方，掛念雪澌。正是琥珀接著，其呆書屬在終身，顯得得歷歷非失所，中嘆息敘不閒。看得的益今一讓不知，有這奇人以回壞了產；如今二年從來，那東香倒要拿一塊玉給他去，找寶玉來。託他傳十一句使的話，悄然趕著的和尚道：『自然是不看哄了我們一把來罷，直豎的交了你完結。如今定要懂得，才剛才進了門。」退出，晌午不見。賈芸才的進內，在頭無影隨平，各自盤巧神通平打與平兒忙進
早安美之城,200,1.4,早安美之城』，還是喜處！」朝臣說：「《大書》給鈿於草閒年地方，掛念雪澌。正是琥珀接著，其呆書屬在終身，顯得得歷歷非失所，中嘆息敘不閒。看得的益今一讓不知，有這奇人以回壞了產；如今二年從來，那東香倒要拿一塊玉給他去，找寶玉來。託他傳十一句使的話，悄然趕著的和尚道：『自然是不看哄了我們一把來罷，直豎的交了你完結。如今定要懂得，才剛才進了門。」退出，晌午不見。賈芸才的進內，在頭無影隨平，各自盤巧神通平打與平兒忙進
午睡真爽,77,0.8,午睡真爽，豈知寶玉卻一陣心酸，早已下淚聽了。都是賈政的話，並不見是襲人，只得暗中流淚。急急的和她說閒話兒說：「這是果然有這樣的，如今也算是別的，怎麼樣呢？這我也不
小火龍,50,1,小火龍食，十二有日的牆壁，還沒有和平兒說道：『你若是那玉也不知道，又道他又道了。但是你父親便也算難脫的，那
劉美蘭,200,0.2,劉美蘭作作一個揖。眾人道：「老爺、太太們都是知道的，只是這樣的好處，我們姑娘一個心，如今我們姑娘一個人，雖是有造化的，她有什麼不錯的，我是一種不好，怎麼能夠呢？」薛姨媽道：「我也不用說，我也不用說，我是一種潑辣人，委委屈屈的上轎而去，也是有造化的，她就是了。」王夫人道：「你們這樣一個伶俐姑娘，聽聽說這句話，我也不敢違拗太太的。」王夫人道：「我也不用說，我是我們的心。」王夫人道：「你們這樣一個伶俐姑娘，聽
你好,200,1.2,"你好把筆續祖呢？』那說話裡頭不言語，寶釵自己卻個女琴，又知道了巧姐，竟安了好些。又知寶釵哭得一二次來，王夫人苦處坐，更自悲傷，又不好親熱起來。

襲人從袖步，便大家放出，因又嘆了一會子。忽見院門裡頭的人，仗著膽絆中一，一時果然的回來，那一僧推就開。寶玉滿眼流淚，覺得不知那巧姐一轉，便見寶玉這句話便不防底便菱淚痕，見那淚落也落淚。眾人見他也難受王以重口氣道：「這樣人辦說定了，如今太且再我做一個媳婦了。你"
我好餓,125,2,我好餓了。呈勸我就理，但賈薔起身放心接木家產，只在令爺內看奇？論開箱，雖能評理出基的；不住原使終身，立執活個姐！海賞東凡府，原開抄明我刻蕭倘麼復墨罷。寶躍過的果品，其麼從繁華之境！河薛玄張』、園時引在姊妹跟去前所用亦送來遠了。見攔入情才叫官門，從年榮出、蘇
我好餓,125,2,我好餓了。呈勸我就理，但賈薔起身放心接木家產，只在令爺內看奇？論開箱，雖能評理出基的；不住原使終身，立執活個姐！海賞東凡府，原開抄明我刻蕭倘麼復墨罷。寶躍過的果品，其麼從繁華之境！河薛玄張』、園時引在姊妹跟去前所用亦送來遠了。見攔入情才叫官門，從年榮出、蘇
柯文哲得了新冠肺炎,50,1,柯文哲得了新冠肺炎，又見出時，便把寶釵上面寫著書去，放在襲人倒轉身給薛姨媽細細說：「一夕雲外解說了。」獨有寶玉生恐人獨
自從波多野在林子裡遇見武松,67,1.2,自從波多野在林子裡遇見武松。」士隱原來說：「既用該聞』，四貴族下，皆善材當家就舉的那樣更時就奇了！」這士隱色道：「就詫異道『情深了』！想出來到底是那一次間，託他
自從波多野在林子裡遇見武松,67,1.2,自從波多野在林子裡遇見武松。」士隱原來說：「既用該聞』，四貴族下，皆善材當家就舉的那樣更時就奇了！」這士隱色道：「就詫異道『情深了』！想出來到底是那一次間，託他
彰師物理嘴炮過人,50,0.4,"彰師物理嘴炮過人。

這日，只見賈蘭中了一個女人，心下暗喜，便說：「我們這樣人家，如今得了乾淨，便是一輩子的衣服，也"
彰師物理嘴炮過人,50,0.4,"彰師物理嘴炮過人。

這日，只見賈蘭中了一個女人，心下暗喜，便說：「我們這樣人家，如今得了乾淨，便是一輩子的衣服，也"
小韋帆與般源,50,1.4,小韋帆與般源、什麼？好聞』給『舉動』，叫他個「可不是了！」據如此人送家，不必當時多的了。一日到了什麼正去，帶了賈
今天天氣真好,152,0.6,"今天天氣真好。」王夫人聽了，點頭道：「要走了！」雨村聽了，還不得意，只見有一段奇地，見了一番人，便道：「你們有什麼事？」賈芸等信了，便知道了。王夫人便命人打發小廝伺候，自家自己立刻到家，請了王夫人的車輛屯車，家人們不知車也不來。

那日賈璉回家，王夫人等回來說：「巧姐兒同平兒了，這不必是。」王夫人道：「我們莊家人也"
今天天氣真好,152,0.6,"今天天氣真好。」王夫人聽了，點頭道：「要走了！」雨村聽了，還不得意，只見有一段奇地，見了一番人，便道：「你們有什麼事？」賈芸等信了，便知道了。王夫人便命人打發小廝伺候，自家自己立刻到家，請了王夫人的車輛屯車，家人們不知車也不來。

那日賈璉回家，王夫人等回來說：「巧姐兒同平兒了，這不必是。」王夫人道：「我們莊家人也"
哪邊是天堂,50,1,哪邊是天堂有一個女人，誰敢瞞著爺似的名章，便叫人趕到這裡。」賈環等知他兩個心腸，告訴他大舅了。賈雨村以後事，賈
哪邊是天堂,50,1,哪邊是天堂有一個女人，誰敢瞞著爺似的名章，便叫人趕到這裡。」賈環等知他兩個心腸，告訴他大舅了。賈雨村以後事，賈
近年來有些多國籍企業利用移轉訂價,102,2,近年來有些多國籍企業利用移轉訂價，將來生天芳官就立道在包裡，又便抄去將節好珠、折變了本來算，重好處也是鱉蔽這女塵』一子勸其齊交矣！」豈然嘆道不知方成後恨。衙門此著早難成話住再有不消待他比師老實服，親、京多開車，大了敘賊來畢，太大自尋起題
近年來有些多國籍企業利用移轉訂價,102,2,近年來有些多國籍企業利用移轉訂價，將來生天芳官就立道在包裡，又便抄去將節好珠、折變了本來算，重好處也是鱉蔽這女塵』一子勸其齊交矣！」豈然嘆道不知方成後恨。衙門此著早難成話住再有不消待他比師老實服，親、京多開車，大了敘賊來畢，太大自尋起題
我愛林俊儒,50,1,我愛林俊儒了！你不是我心裡的名不明白，但只不是他爺兒一輩子不生，只怕我死在房裡。」平兒道：「哪裡就不和我的事，
起個頭,200,1.2,起個頭都跟著去了。剩了一個黛玉，那和大尚的輸了，唱了一道，才上面說道：「果然是有道理，但是老、第三定名溫保；山福，凡一百呢，比佑家話的，才把家庭之情，門空兒叫人家到怎麼處，父親不回還！相訊。我說：「四妹妹自說了。眾人心裡也就潔淨。又因那和尚還他了。」的時，便更喜歡，說不出來。回來各自的人說：「回來罷。等太太出了好些銀錢，不賞還在那裡，誰和你哥哥寫了幾個富米嗎？」賈蓉說道：「我有了書，原該大夫有理不知，只
起個頭,200,1.2,起個頭都跟著去了。剩了一個黛玉，那和大尚的輸了，唱了一道，才上面說道：「果然是有道理，但是老、第三定名溫保；山福，凡一百呢，比佑家話的，才把家庭之情，門空兒叫人家到怎麼處，父親不回還！相訊。我說：「四妹妹自說了。眾人心裡也就潔淨。又因那和尚還他了。」的時，便更喜歡，說不出來。回來各自的人說：「回來罷。等太太出了好些銀錢，不賞還在那裡，誰和你哥哥寫了幾個富米嗎？」賈蓉說道：「我有了書，原該大夫有理不知，只
